run_id,architecture,beta,threshold_rule,split,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
20260423_230901,dense,1.0,val_f1_current,val,11.210143274901506,0.9388967183410509,0.41545189504373176,0.9872979214780601,0.5848153214774282,855,17799,1203,11
20260423_230901,dense,1.0,val_f1_current,test,11.210143274901506,0.8858267716535433,0.2863596619061498,0.9979685119349924,0.445023213679085,1965,36060,4897,4
20260423_230901,dense,1.0,train_p95,val,2.9056825637817383,0.8981276424401047,0.2996539792387543,1.0,0.46112886048988283,866,16978,2024,0
20260423_230901,dense,1.0,train_p95,test,2.9056825637817383,0.8678190374132227,0.25762135287190896,1.0,0.4096962130669996,1969,35283,5674,0
20260423_230901,dense,1.0,train_mean3std,val,8.794779777526855,0.9156935776122408,0.34081070444706807,1.0,0.5083651306134429,866,17327,1675,0
20260423_230901,dense,1.0,train_mean3std,test,8.794779777526855,0.8809113357871686,0.27794263105835804,0.9989842559674962,0.43488834844130003,1967,35847,5110,2
20260423_231929,conv1d,1.0,val_f1_current,val,11.2063014737805,0.9388967183410509,0.41545189504373176,0.9872979214780601,0.5848153214774282,855,17799,1203,11
20260423_231929,conv1d,1.0,val_f1_current,test,11.2063014737805,0.8858267716535433,0.2863596619061498,0.9979685119349924,0.445023213679085,1965,36060,4897,4
20260423_231929,conv1d,1.0,train_p95,val,2.9035942554473877,0.8981276424401047,0.2996539792387543,1.0,0.46112886048988283,866,16978,2024,0
20260423_231929,conv1d,1.0,train_p95,test,2.9035942554473877,0.8678190374132227,0.25762135287190896,1.0,0.4096962130669996,1969,35283,5674,0
20260423_231929,conv1d,1.0,train_mean3std,val,8.793627738952637,0.9156935776122408,0.34081070444706807,1.0,0.5083651306134429,866,17327,1675,0
20260423_231929,conv1d,1.0,train_mean3std,test,8.793627738952637,0.8809113357871686,0.27794263105835804,0.9989842559674962,0.43488834844130003,1967,35847,5110,2
